Part ID,X mm,Y mm,Z mm,Solid PLA mass g,Description
G09_L_Rack_and_raised_slide,67.0,70.0,18.0,13.1,14 analytic rack teeth; pitch line X15. Raised crossbar bottomZ13 lets opposite rack pass belowZ8 throughout20–70 mm gap. Captured slide feet run Z3.65..8.65 with0.35 mm each-side vertical allowance.
G10_L_Long_finger_75x24x12,42.0,79.0,16.0,18.589,"75 mm finger body (Z22..97),24 mm width,12 mm thickness; keyed replaceable pad. Root flange4 mm with two M3x10 and captive nuts in carriage. Open rear relief leaves3 mm walls behind key and at each side. Tip M3 nut loads through outer-side slot and bears under3.7 mm roof. Print on outer back with key slot up; preview removable supports in open rear pocket and inspect short slot-roof bridges."
G11_L_Flat_and_V_keyed_contact_pad,24.0,71.65,6.0,7.595,"3 mm replaceable printed pad; flat lands maintain specified gap. Central14 mm-wide,1.2 mm-deep V overZ35..85 supports round objects.3 mm front pad plus integral T key slides into finger with0.3 mm side allowance; remove tip cap to replace."
G12_L_Removable_pad_tip_stop,24.0,15.0,3.0,1.306,"3 mm printed axial pad stop. One M3x10 atX0,Yfinger-centre+2 into side-loaded captive nut. Slide pad from tip only after cap removal;0.35 mm nominal pad endplay."
W11_palm_screw_spacer_0,7.0,7.0,1.0,0.036,
W11_palm_screw_spacer_1,7.0,7.0,1.0,0.036,
W11_palm_screw_spacer_2,7.0,7.0,1.0,0.036,
W11_palm_screw_spacer_3,7.0,7.0,1.0,0.036,
F01_hole_and_nut_coupon,92.0,46.0,5.0,24.021,Print first. Ø3.2/3.4/3.6; Ø8.3/8.5/8.7; nut5.6/5.8/6.0AF. Not structural.
F02_AX_16PCD_horn_coupon,26.0,26.0,4.0,2.299,4 M2 clearances2.3 on16PCD. Verify against supplied horn using M2x6. Not structural.
F02_XM_16PCD_horn_coupon,26.0,26.0,4.5,2.494,8 M2 clearances2.3 on16PCD. Verify against supplied horn using M2x6. Not structural.
